epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,1097.23,0.53853,0.40538,0.00624,0.95286,0.9582,0.97625,0.84945,0.55464,0.29967,0.01003,0.000679204,0.000679204,0.000679204
108,1107.22,0.53343,0.4194,0.00629,0.94717,0.91455,0.97024,0.83894,0.54734,0.32501,0.00983,0.00067213,0.00067213,0.00067213
109,1120.43,0.53688,0.43032,0.00599,0.90506,0.93758,0.97006,0.83602,0.56011,0.32311,0.01019,0.000665057,0.000665057,0.000665057
110,1130.28,0.57338,0.42195,0.00695,0.92835,0.94905,0.98353,0.85519,0.56678,0.29546,0.01028,0.000657983,0.000657983,0.000657983
111,1140.31,0.53373,0.39932,0.00636,0.95856,0.93561,0.98317,0.84406,0.57077,0.28297,0.01029,0.000650909,0.000650909,0.000650909
112,1150.46,0.55325,0.41676,0.00675,0.95881,0.93692,0.98473,0.85061,0.57192,0.27984,0.0103,0.000643836,0.000643836,0.000643836
113,1160.38,0.53297,0.41183,0.0063,0.95045,0.91949,0.98283,0.8339,0.5848,0.30005,0.01064,0.000636762,0.000636762,0.000636762
114,1170.1,0.55752,0.38959,0.00646,0.9798,0.95518,0.98973,0.85063,0.56043,0.26441,0.01032,0.000629689,0.000629689,0.000629689
115,1179.9,0.52021,0.37456,0.00652,0.98992,0.95909,0.98993,0.86522,0.54655,0.26492,0.01017,0.000622615,0.000622615,0.000622615
116,1190.02,0.54075,0.40012,0.00625,0.97784,0.94155,0.98571,0.85939,0.54511,0.26793,0.01005,0.000615542,0.000615542,0.000615542
117,1200.33,0.55477,0.41119,0.00642,0.95359,0.97385,0.98686,0.85389,0.5645,0.27223,0.01049,0.000608468,0.000608468,0.000608468
118,1210.42,0.56977,0.39478,0.0068,0.91315,0.97672,0.98108,0.85036,0.548,0.28839,0.0101,0.000601395,0.000601395,0.000601395
119,1220.48,0.54781,0.38025,0.00656,0.964,0.92166,0.97858,0.85114,0.54645,0.29493,0.0099,0.000594321,0.000594321,0.000594321
120,1230.82,0.55326,0.38972,0.00639,0.94999,0.91467,0.97526,0.84923,0.55236,0.29329,0.01018,0.000587248,0.000587248,0.000587248
121,1240.97,0.51466,0.36784,0.00599,0.94051,0.92112,0.9627,0.82613,0.57797,0.31687,0.01065,0.000580174,0.000580174,0.000580174
122,1251.37,0.53601,0.36993,0.00657,0.9367,0.91097,0.97516,0.84337,0.54209,0.3199,0.01001,0.0005731,0.0005731,0.0005731
123,1261.28,0.50021,0.35988,0.0056,0.96268,0.94863,0.98151,0.85501,0.53521,0.27683,0.01003,0.000566027,0.000566027,0.000566027
124,1271.04,0.50471,0.3825,0.00602,0.95372,0.94432,0.98197,0.86424,0.55528,0.28326,0.01031,0.000558953,0.000558953,0.000558953
125,1280.91,0.52805,0.37462,0.00633,0.89373,0.95033,0.97237,0.855,0.52094,0.28057,0.00938,0.00055188,0.00055188,0.00055188
126,1291.12,0.5255,0.38736,0.00623,0.91611,0.96342,0.97621,0.86102,0.53525,0.2844,0.00963,0.000544806,0.000544806,0.000544806
127,1301.03,0.52336,0.37406,0.00603,0.99192,0.90655,0.97557,0.85065,0.53733,0.30024,0.00968,0.000537733,0.000537733,0.000537733
128,1311,0.49796,0.34144,0.00579,0.97665,0.92576,0.98148,0.8518,0.52513,0.28586,0.00951,0.000530659,0.000530659,0.000530659
129,1320.89,0.48433,0.33592,0.00578,0.97788,0.92397,0.98165,0.85378,0.53601,0.28613,0.0097,0.000523586,0.000523586,0.000523586
130,1330.92,0.52886,0.37907,0.00608,0.9774,0.93152,0.98832,0.85666,0.54268,0.26868,0.00994,0.000516512,0.000516512,0.000516512
131,1341,0.52483,0.38223,0.00632,0.98067,0.89545,0.98668,0.85636,0.53819,0.27967,0.00991,0.000509438,0.000509438,0.000509438
132,1350.89,0.49108,0.36334,0.00578,0.97112,0.89431,0.98362,0.84707,0.53917,0.28776,0.00969,0.000502365,0.000502365,0.000502365
133,1360.73,0.53795,0.39551,0.00666,0.9514,0.93788,0.98699,0.85795,0.52753,0.26358,0.00954,0.000495291,0.000495291,0.000495291
